"2017/11/20 18:18:36",6115/01/01,1,
"2017/11/20 18:18:41",6815/01/01,1,
"2017/11/20 18:18:46",6812/01/01,1,
"2017/11/20 18:18:54",6125/01/01,1,
"2017/11/20 18:18:59",6564/01/01,1,
"2017/11/20 18:19:04",6517/01/01,1,
"2017/11/20 18:19:08",6515/01/01,1,
"2017/11/20 18:19:13",7241/01/01,1,
"2017/11/20 18:19:20",6491/01/01,1,
"2017/11/20 18:19:24",6437/01/01,1,
"2017/11/20 18:19:29",6516/01/01,1,
"2017/11/20 18:25:07",70809-1,1,
"2017/11/20 18:35:39",21022-1,1,
"2017/11/20 18:42:17",41535-1,1,
"2017/11/20 18:42:25",41532-1,1,
"2017/11/20 18:42:31",41540-1,1,
"2017/11/20 18:42:37",41531-1,1,
"2017/11/20 18:42:41",41533-1,1,
"2017/11/20 18:42:49",41539-1,1,
"2017/11/20 18:42:52",41528-1,1,
"2017/11/20 18:42:56",41527-1,1,
"2017/11/20 18:43:05",41541-1,1,
"2017/11/20 18:43:10",41534-1,1,
"2017/11/20 19:05:12",31025-1,1,
"2017/11/20 19:05:20",10243-1,1,
"2017/11/20 19:08:31",21109-1,1,
"2017/11/20 19:09:54",31010-1,1,
"2017/11/20 22:16:46",6913/01/01,1,
"2017/11/21 01:37:42",31054-1,2,
"2017/12/27 18:19:20",31067-1,1,"christmas 2017"
"2017/12/27 18:19:30",31068-1,1,"christmas 2017"
"2017/12/27 18:19:36",31065-1,1,"christmas 2017"
"2017/12/27 18:19:48",10706-1,1,"christmas 2017"
"2017/12/27 18:19:55",10708-1,1,"christmas 2017"
"2017/12/27 18:21:23",31055-1,1,"christmas 2017"
