1,5.8
10,74
104,0.5
30322,0.66
10p01,58.46
10p02,60.8
10p03,61
10p04,59
10p05,59
122c01,1.86
122c02,1.86
132old,2
14,0.95
15,1
17,0.87
194,0.12
2,10.14
200,?
202,5.47
21,2.14
2335,0.5
2335p01,0.5
2335p02,0.5
2335p03,0.5
2335p04,0.5
2335p43,0.5
2335p44,0.5
2336,3.66
2336p68,3.66
2336p90,3.66
2337,4.22
2339u,2.1
2340,1.64
2341,0.6
2342,1
2343,0.26
2345,4.95
2345p01,4.95
2345p44,4.95
2346,3.88
2348a,0.4
2348b,0.41
2349,1.42
2350a,5.82
2351,4.12
2352,3
2356,6.3
2357,1.25
2358p02,98.9
2359p01,98.5
2360p01,94
2361p01,103
2362,1.3
2375,2
2376,0.49
2377,0.62
2397,2.17
2399,3
2400,4.55
2401,8.7
2408,16
2408p01,16
2409,35.42
2412,0.24
2413,4.86
2415,0.67
2417,1.071
2418a,5.34
2418b,6
2419,1.95
2420,0.54
2421,0.41
2422,1.24
2423,0.44
2428,5.94
2429,0.39
2430,0.39
2431,0.54
2431p02,0.53
2431p12,0.53
2431p51,0.53
2431p79,0.53
2432,0.58
2433,0.28
2434,4.96
2436,0.93
2437,2.26
2440,2.15
2440p69,2.2
2441,4.21
2443,3
2444,0.81
2445,3.5
2446,0.52
2447,0.16
2448,2.5
2449,1.88
2450,1.08
2452,0.61
2453,2.13
2454,3.49
2456,3.74
2458,1.09
2460,0.98
2462,1.46
2463,2.12
2464,2.25
2465,6.2
2466,2.84
2466p07,2.75
2466p68,2.6
2467,5.07
2468,3.52
2470,1.08
2473,0.8
2476,0.82
2479,1.38
2483,4.73
2486,1.4
2489,1.7
2493,2.3
2494,2.03
2494p01,2.03
2496,0.3
2500c01,4.39
2507,6.94
2508,0.91
251,0.46
2512,3.8
2513,2.14
2516,0.72
2518,1.86
2524,0.73
2529,0.4
2536,0.87
2539,3.5
2540,0.63
2549,8.82
2554,1.65
2555,0.22
2560,37
2563,1.35
2566,0.73
2569,0.41
2570,0.46
2571,5.92
2572,13.8
2573,38.85
2574,14.5
2577,3.57
2582,2.82
2582p68,2.82
2583,2.04
2584,0.9
2585,0.38
2593,9.8
2598,17
2599a,0.22
2607,0.89
2609,0.5
2614,0.48
2617,55.44
2620,4.7
2621,9
2625,4.49
2626,7.16
2627,3
2634c02,5.52
2635,21.5
2636,3.16
2637,1.77
2638,3.3
2639,1.75
2641,9.29
2642,51.71
2653,1.42
2654,0.45
2655,0.43
2680,4
2681,9
2694,8
2695,2.4
2696,11
27,0.49
2711,0.62
2713,1.19
2714a,0.67
2717,2.89
2719,1.3
2730,3.67
2736,0.27
2738,2.01
2739,0.68
2743,1.51
2744,2.01
2775,0.6
2790,1.1
2791,1.5
2792,4.27
2817,0.86
2819,1
2823,2.31
2825,0.75
2826,7
2838c01,49
2850,2.81
2851,0.4
2852,0.29
2853,0.37
2854,0.36
2855,8.4
2856,7.5
2865,17.08
2871,3.31
2873,1.02
2874,3.85
2875,2.31
2876,4.81
2877,0.68
2878c01,8.54
2879,0.82
2880,0.3
2881,0.87
29,0.49
2904,2.8
2905,1.16
2907,0.47
2908,1.27
2917,7.35
2918,4.35
2919,0.87
2920,0.38
2921,0.61
2926,0.9
2927,0.31
2928,1.65
2951,14
2972,44.87
4592,0.09
2982c01,8.1
2983,0.32
2984,0.8
2985,0.7
2986,8.5
2999,1.18
3,3.44
70644,10.67
30000,1.81
3001,2.32
3001oldpb01,2.32
3002,1.92
30022,2.52
30027u,0.24
30028,0.83
30029,6
3003,1.35
30031,0.33
30033,1.5
30034,1.37
30035,0.81
30036,5.76
30037,12
3004,0.83
30041,4
30042,3.5
30043,0.86
30044,0.95
30046,0.26
3004p01,0.83
3004p03,0.83
3004p05,0.83
3004p06,0.83
3004p12,0.83
3004p20,0.83
3004p50,0.83
3004p51,0.83
3004p60,0.83
3004p90,0.83
3004prc,0.83
3005,0.44
3005pt1b,0.46
30055,1.69
30056,1.9
3005pt6b,0.46
3006,5.75
30062,2.2
3007,4.75
30076,11
30077,3.3
30079,2.03
3008,3.21
30080c01,3.11
30082,0.18
3008p03,3.21
3008p21,3.21
3008p22,3.21
3009,2.42
30092,1.72
30093,1
30095,2.3
30099,2.56
3009p01,2.42
3009p02,2.42
3009p03,2.42
3009p21,2.42
3010,1.64
3010p03,1.64
3010p04,1.64
3010p05,1.64
3010p06,1.64
3010p08,1.64
3010p09,1.64
3010p15,1.64
3010pb036u,1.64
3010pb035u,1.64
3010p20w,1.64
3010p21,1.64
3010p30,1.64
3010p31,1.64
3010p40,1.64
3010p41,1.64
3010p918,1.64
3010p924,1.64
3010p928,1.64
30118,3.78
30119,3.78
30134,7.58
30136,0.69
30137,1.27
30139,7.7
30140,6.9
30144,6.73
30145,3.75
30145p01,3.75
30147,1.2
30150,4.17
30151,1.25
30152c01,0.44
30156,7.96
30157,1.91
30159,0.68
30161,0.76
30180,5.12
30182,3.61
30183,6.12
30195,7.06
30198,0.33
3020,1.2
30201,12.5
30208,2.35
30209,2.75
3021,0.93
30211,2.38
30213,1.2
3022,0.64
30223,6.82
3023,0.36
30235,11.48
30236,1.14
3024,0.2
30246,8.63
30250,7
30256,1.1
3026,19.43
3027,13.27
30277,6.17
3028,9.47
3029,6.76
30299,18
3030,5.55
30303,4
3031,2.22
3032,3.3
3033,7.95
3034,2.27
3035,4.7
30350,1.08
30355,7.99
30356,7.99
30357,1.18
30359,1.34
3036,6.4
30360,7.59
30361,?
30363,1.71
30364,1.06
30365,1.09
3037,1.97
30372,5.5
30372p79,5.3
30373,9.2
3038,1.72
30382,5.75
30383,0.42
30384,4.5
3039,1.15
3039p05,1.15
3039p10,1.15
3039ps1,1.15
3039p15,1.15
3039p23,1.15
3039p32,1.15
3039p33,1.15
3039p34,1.15
3039p58,1.15
3039p68,1.15
3040,0.69
30407,2.16
3040p01,0.69
3040p32,0.69
3040p33,0.69
3041,1.63
3042,1.18
3043,0.91
3044,0.52
3044p37,0.52
3045,0.9
3046a,1.11
3048,0.34
3049,0.48
3058,7.5
3062a,0.34
3062b,0.28
3062old,0.4
3063,0.83
3065,0.82
3066,1.71
3067,2.5
3068,0.5
3068bp07,0.45
3068bp08,0.45
